PROGR,REGIONE,ID SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE SU GIS,LONGITUDINE SU GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO,SPECIE NOME SCIENTIFICO,SPECIE NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,lon,lat
1,SICILIA,01/A089/AG/19,Agrigento,Agrigento,Valle dei Templi,"37° 17' 22,25''","13° 35' 35,7''",98.0,no,Olea europaea L.,Olivo,380.0,5.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico
g) valore storico, culturale, religioso",sì,13.593250,37.289514
2,SICILIA,02/A089/AG/19,Agrigento,Agrigento,Valle dei Templi,"37° 17' 19,56''","13° 36' 1,83''",98.0,no,Olea europaea L.,Olivo,550.0,6.5,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",sì,13.600508,37.288767
3,SICILIA,03/A089/AG/19,Agrigento,Agrigento,Valle dei Templi,"37° 17' 20,85''","13° 35' 59,14''",88.0,no,Olea europaea L.,Olivo,420.0,5.0,"c) valore ecologico
f) pregio paesaggistico",sì,13.599761,37.289125
4,SICILIA,04/A089/AG/19,Agrigento,Agrigento,Valle dei Templi,"37° 17' 30,17''","13° 34' 56,1''",52.0,no,Mirtus communis L.,Mirto,130-150-140,7.5,"a) età e/o dimensioni
f) pregio paesaggistico",sì,13.582250,37.291714
5,SICILIA,05/A089/AG/19,Agrigento,Agrigento,Valle dei Templi,"37° 17' 27,46''","13° 35' 00,77''",80.0,no,Ceratonia siliqua L.,Carrubo,400.0,8.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",sì,13.583547,37.290961
6,SICILIA,06/A089/AG/19,Agrigento,Agrigento,Valle dei Templi,"37° 17' 37,41''","13° 34' 52,53''",55.0,no,Olea europaea L.,Olivo,640.0,5.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",sì,13.581258,37.293725
7,SICILIA,07/A089/AG/19,Agrigento,Agrigento,Valle dei Templi,"37° 17' 37,28''","13° 34' 51,59''",60.0,no,Olea europaea L.,Olivo,470.0,7.5,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico",no,13.580997,37.293689
8,SICILIA,08/A089/AG/19,Agrigento,Agrigento,Piazza Aldo Moro,"37° 18' 36,4''","13° 35' 07,27''",237.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,420.0,10.0,"a) età e/o dimensioni
c) valore ecologico
e) architettura vegetale
f) pregio paesaggistico",sì,13.585353,37.310111
9,SICILIA,09/A089/AG/19,Agrigento,Agrigento,Basilica dell'Immacolata - Via Pirandello,"37° 18' 35,14''","13° 35' 0,6''",231.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,400.0,9.0,"a) età e/o dimensioni
c) valore ecologico
e) architettura vegetale
f) pregio paesaggistico",sì,13.583500,37.309761
10,SICILIA,10/A089/AG/19,Agrigento,Agrigento,Piazza Aldo Moro,"37° 18' 36,09''","13° 35' 06,61''",234.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,430.0,9.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",no,13.585169,37.310025
11,SICILIA,01/B275/AG/19,Agrigento,Burgio,Guardiola,"37° 37' 52,46''","13° 19' 1,58''",800.0,no,Quercus pubescens Willd.,Roverella,420.0,20.0,a) età e/o dimensioni,no,13.317106,37.631239
12,SICILIA,01/B427/AG/19,Agrigento,Caltabellotta,Villa Comunale,37° 34' 39'',13° 13' 14'',780.0,sì,Quercus pubescens Willd.,Roverella,350.0,20.0,"a) età e/o dimensioni
c) valore ecologico",no,13.220556,37.577500
13,SICILIA,02/B427/AG/19,Agrigento,Caltabellotta,Figotto,"37° 37' 25,89''","13° 10' 46,33''",450.0,no,Ceratonia siliqua L.,Carrubo,720.0,12.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",sì,13.179536,37.623858
14,SICILIA,03/B427/AG/19,Agrigento,Caltabellotta,Figotto,"37° 35' 34,66''","13° 10' 56,5''",442.0,no,Quercus suber L.,Sughera,430.0,15.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",sì,13.182361,37.592961
15,SICILIA,01/E714/AG/19,Agrigento,Lucca Sicula,Ciancimino,"37° 34' 47,67''","13° 17' 53,65''",440.0,no,Quercus pubescens Willd.,Roverella,470.0,20.0,"a) età e/o dimensioni
c) valore ecologico",no,13.298236,37.579908
16,SICILIA,01/F126/AG/19,Agrigento,Menfi,Azienda Ravidà - Guerra Soprana - Strada Provinciale N. 48,"37° 38' 21,47''","12° 55' 17,47''",108.0,no,Insieme omogeneo di Quercus suber L.,Sughera,"200 (med)
240 (max)","20,0 (med)
25,0 (max)","a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",no,12.921519,37.639297
17,SICILIA,02/F126/AG/19,Agrigento,Menfi,Azienda Ravidà - Guerra Soprana,"37° 38' 21,12''","12° 55' 18,65''",108.0,no,Olea europaea L.,Olivo,470.0,3.5,"a) età e/o dimensioni
c) valore ecologico",no,12.921847,37.639200
18,SICILIA,01/H269/AG/19,Agrigento,Ribera,Villa Comunale,"37° 30' 17,04''","13° 16' 13,66''",222.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,450.0,18.0,"a) età e/o dimensioni
b) forma e portamento
d) rarità botanica",no,13.270461,37.504733
19,SICILIA,02/H269/AG/19,Agrigento,Ribera,Villa Comunale,"37° 30' 17,33''","13° 16' 13,37''",222.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,500.0,20.0,"a) età e/o dimensioni
b) forma e portamento
d) rarità botanica",no,13.270381,37.504814
20,SICILIA,01/H743/AG/19,Agrigento,Sambuca di Sicilia,Adragna,"37° 40' 43,58''","13° 07' 37,8''",516.0,no,Quercus pubescens Willd.,Roverella,395.0,20.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico",sì,13.127167,37.678772
21,SICILIA,02/H743/AG/19,Agrigento,Sambuca di Sicilia,Adragna,"37° 40' 38,57''","13° 07' 51,12''",500.0,no,Insieme omogeneo di Quercus pubescens Willd.,Roverella,"360 (med)
460 (max)","20,0 (med)
30,0 (max)","a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico",sì,13.130867,37.677381
22,SICILIA,03/H743/AG/19,Agrigento,Sambuca di Sicilia,Adragna - Strada Provinciale N. 69,"37° 40' 24,84''","13° 7' 51,16''",500.0,no,Insieme omogeneo di Quercus pubescens Willd.,Roverella,"410 (med)
450 (max)","20,0 (med)
20,0 (max)","a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico",no,13.130878,37.673567
23,SICILIA,01/H914/AG/19,Agrigento,San Giovanni Gemini,San Crispino,"37° 38' 33,6''","13° 40' 35,42''",442.0,no,Prunus dulcis (Mill.) D.A. Webb,Mandorlo,250.0,11.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",sì,13.676506,37.642667
24,SICILIA,03/H914/AG/19,Agrigento,San Giovanni Gemini,Melaco,"37° 37' 58,61''","13° 38' 40,08''",612.0,no,Pinus  halepensis Mill.,Pino d'Aleppo,300.0,13.0,"a) età e/o dimensioni
f) pregio paesaggistico",no,13.644467,37.632947
25,SICILIA,01/I356/AG/19,Agrigento,Santo Stefano Quisquina,Serra Quisquina,"37° 37' 19,21''","13° 31' 23,67''",1051.0,no,Quercus congesta C. Presl,Quercia congesta,380.0,23.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico
g) valore storico, culturale, religioso",sì,13.523242,37.622003
26,SICILIA,02/I356/AG/19,Agrigento,Santo Stefano Quisquina,Grotticelle,"37° 38' 01,93''","13° 28' 47,95''",730.0,no,Quercus robur L.,Farnia,410.0,25.0,"a) età e/o dimensioni
c) valore ecologico",sì,13.479986,37.633869
27,SICILIA,03/I356/AG/19,Agrigento,Santo Stefano Quisquina,Piani Piraini  - La Pistacchiera,"37° 35' 29,64''","13° 32' 34,51''",800.0,no,Pyrus communis L.,Pero domestico,270.0,12.0,a) età e/o dimensioni,no,13.542919,37.591567
28,SICILIA,01/I533/AG/19,Agrigento,Sciacca,Scunchiapani,"37° 33' 35,48''","13° 3' 29,43''",174.0,no,Olea europaea subsp. oleaster (Hoffmanns. & Link),Olivastro,460.0,12.0,"a) età e/o dimensioni
c) valore ecologico
g) valore storico, culturale, religioso",no,13.058175,37.559856
29,SICILIA,01/A028/CT/19,Catania,Acireale,La Timpa - Via Santa Maria della Scala,"37° 37' 12,21''","15° 10' 24,99''",114.0,sì,Platanus acerifolia (Aiton) Willd.,Platano comune,350.0,8.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",no,15.173608,37.620058
30,SICILIA,01/A056/CT/19,Catania,Adrano,Galvarina - Prato Fiorito,"37° 43' 36,7''","14° 55' 13,25''",1800.0,no,Pinus nigra subsp. laricio Maire,Pino laricio,300.0,15.0,"b) forma e portamento
f) pregio paesaggistico",no,14.920347,37.726861
31,SICILIA,01/B202/CT/19,Catania,Bronte,Monte Egitto,"37° 45' 57,93''","14° 55' 39,04''",1600.0,no,Quercus pubescens Willd.,Roverella,480.0,15.0,"a) età e/o dimensioni
f) pregio paesaggistico",no,14.927511,37.766092
32,SICILIA,02/B202/CT/19,Catania,Bronte,Monte Lepre,"37° 45' 22,36''","14° 55' 12,11''",1550.0,no,Quercus pubescens Willd.,Roverella,430.0,11.0,"a) età e/o dimensioni
f) pregio paesaggistico",no,14.920031,37.756211
33,SICILIA,03/B202/CT/19,Catania,Bronte,Poggio La Caccia,"37° 45' 23,93''","14° 57' 06,96''",1830.0,no,Betula aetnensis Raf.,Betulla dell'Etna,197.0,17.0,"d) rarità botanica
f) pregio paesaggistico",no,14.951933,37.756647
34,SICILIA,01/B428/CT/19,Catania,Caltagirone,Molara,"37° 05' 54,47''","14° 28' 07,99''",220.0,no,Quercus suber L.,Sughera,650.0,11.0,"a) età e/o dimensioni
b) forma e portamento
f) pregio paesaggistico",sì,14.468886,37.098464
35,SICILIA,02/B428/CT/19,Catania,Caltagirone,Giardini Vittorio Emanuele,"37° 13' 53,02''","14° 31' 09,18''",539.0,sì,Cedrus atlantica (Endl.) Manetti ex Carrière,Cedro dell'Atlante,280.0,16.0,e) architettura vegetale,no,14.519217,37.231394
36,SICILIA,01/C351/CT/19,Catania,Catania,Villa Bellini,"37° 30' 44,7''","15° 04' 57,68''",29.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,1400.0,30.0,"a) età e/o dimensioni
b) forma e portamento
d) rarità botanica
g) valore storico, culturale, religioso",no,15.082689,37.512417
37,SICILIA,02/C351/CT/19,Catania,Catania,Villa Bellini,"37° 30' 38,89''","15° 05' 06,39''",27.0,sì,Araucaria bidwillii Hook.,Pino del Queensland,340.0,40.0,"a) età e/o dimensioni
b) forma e portamento
d) rarità botanica
e) architettura vegetale
f) pregio paesaggistico",no,15.085108,37.510803
38,SICILIA,03/C351/CT/19,Catania,Catania,Villa Bellini,"37° 30' 38,24''","15° 05' 06,65''",27.0,sì,Araucaria bidwillii Hook.,Pino del Queensland,300.0,45.0,"a) età e/o dimensioni
d) rarità botanica
e) architettura vegetale
f) pregio paesaggistico",no,15.085181,37.510622
39,SICILIA,04/C351/CT/19,Catania,Catania,Istituto Superiore di Catania - Via Valdisavoia 9,"37° 31' 2,92''","15° 4' 25,08''",69.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,1200.0,25.0,"a) età e/o dimensioni
b) forma e portamento
f) pregio paesaggistico",no,15.073633,37.517478
40,SICILIA,05/C351/CT/19,Catania,Catania,Via Etnea 397,"37° 30' 55,74''","15° 05' 02,75''",75.0,sì,Dracaena draco L.,Albero del drago,200.0,7.0,"a) età e/o dimensioni
d) rarità botanica",no,15.084097,37.515483
41,SICILIA,01/E602/CT/19,Catania,Linguaglossa,Pernicana,"37° 48' 26,46''","14° 57' 02,96''",1250.0,no,Pinus nigra subsp. laricio Maire,Pino laricio,600.0,24.0,"a) età e/o dimensioni
f) pregio paesaggistico
g) valore storico, culturale, religioso",no,14.950822,37.807350
42,SICILIA,01/F214/CT/19,Catania,Milo,Monte Fontana - Timpa Modda,"37° 44' 19,92''","15° 05' 09,94''",1210.0,no,Quercus cerris L.,Cerro,560.0,18.0,"a) età e/o dimensioni
f) pregio paesaggistico
g) valore storico, culturale, religioso",no,15.086094,37.738867
43,SICILIA,02/F214/CT/19,Catania,Milo,Caselle - Via Guglielmo Marconi,"37° 43' 14,85''","15° 06' 32,11''",790.0,sì,Acer opalus Mill.,Acero napoletano,325.0,14.0,a) età e/o dimensioni,no,15.108919,37.720792
44,SICILIA,03/F214/CT/19,Catania,Milo,Giarrita,37° 45' 37'',"15° 04' 21,19''",1430.0,no,Insieme omogeneo di Fagus sylvatica L.,Faggio,"670 (med)
720 (max)","20,0 (med)
21,0 (max)","a) età e/o dimensioni
g) valore storico, culturale, religioso",no,15.072553,37.760278
45,SICILIA,04/F214/CT/19,Catania,Milo,Bosco Barone Nicolosi,"37° 42' 24,17''","15° 06' 58,55''",580.0,no,Acer opalus subsp. obtusatum (Waldst. & Kit ex Willd.) Gams,Acero d'Ungheria,310.0,18.0,"a) età e/o dimensioni
d) rarità botanica",no,15.116264,37.706714
46,SICILIA,05/F214/CT/19,Catania,Milo,Piazza Sacro Cuore - Strada Provinciale 59,"37° 44' 08,49''","15° 06' 45,16''",835.0,sì,Celtis australis L.,Bagolaro,380.0,18.0,"a) età e/o dimensioni
g) valore storico, culturale, religioso",sì,15.112544,37.735692
47,SICILIA,01/F781/CT/19,Catania,Motta Sant'Anastasia,Contrada Gebbia,"37° 30' 29,99''","14° 58' 13,04''",200.0,no,Olea europaea L.,Olivo,830.0,8.0,"a) età e/o dimensioni
b) forma e portamento
f) pregio paesaggistico
g) valore storico, culturale, religioso",no,14.970289,37.508331
48,SICILIA,01/G371/CT/19,Catania,Paternò,Villa Moncada,"37° 34' 10,87''","14° 54' 34,96''",225.0,sì,Tipuana tipu (Benth.) Kuntze,Tipuana,400.0,25.0,"a) età e/o dimensioni
d) rarità botanica
f) pregio paesaggistico",no,14.909711,37.569686
49,SICILIA,02/G371/CT/19,Catania,Paternò,Rotonda su Via Vittorio Emanuele,"37° 34' 09,5''","14° 54' 43,2''",250.0,sì,Ficus australis Willd.,Fico rugginoso,370.0,25.0,"a) età e/o dimensioni
d) rarità botanica
f) pregio paesaggistico",no,14.912000,37.569306
50,SICILIA,01/H175/CT/19,Catania,Randazzo,Monte Santa Maria - Contrada Annunziata,"37° 49' 28,16''","14° 58' 55,86''",1537.0,no,Insieme omogeneo di Betula aetnensis Raf.,Betulla dell'Etna,"656 (med)
710 (max)","16,0 (med)
16,0 (max)","a) età e/o dimensioni
b) forma e portamento
d) rarità botanica
f) pregio paesaggistico",no,14.982183,37.824489
51,SICILIA,02/H175/CT/19,Catania,Randazzo,Monte Colla,"37° 55' 45,19''","14° 54' 20,85''",1492.0,no,Acer pseudoplatanus L.,Acero di monte,350.0,4.0,f) pregio paesaggistico,no,14.905792,37.929219
52,SICILIA,01/H325/CT/19,Catania,Riposto,Villa Puglisi,"37° 43' 40,93''","15° 11' 53,96''",67.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,1100.0,18.0,"a) età e/o dimensioni
b) forma e portamento
e) architettura vegetale
f) pregio paesaggistico",sì,15.198322,37.728036
53,SICILIA,01/I314/CT/19,Catania,Santa Venerina,Dagala del Re,"37° 41' 51,67''","15° 08' 05,11''",390.0,no,Quercus pubescens Willd.,Roverella,300.0,16.0,"f) pregio paesaggistico
g) valore storico, culturale, religioso",no,15.134753,37.697686
54,SICILIA,02/I314/CT/19,Catania,Santa Venerina,Parco Cosentini,"37° 39' 49,24''","15° 07' 53,06''",325.0,no,Quercus pubescens Willd.,Roverella,430.0,11.0,f) pregio paesaggistico,no,15.131406,37.663678
55,SICILIA,01/I216/CT/19,Catania,Sant'Alfio,Nucifori,"37° 44' 57,56''","15° 07' 53,44''",705.0,sì,Castanea sativa Mill.,Castagno,2200.0,22.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico
g) valore storico, culturale, religioso",no,15.131511,37.749322
56,SICILIA,02/I216/CT/19,Catania,Sant'Alfio,Pomazzo,"37° 45' 31,87''","15° 05' 18,56''",1180.0,no,Quercus pubescens Willd.,Roverella,330.0,12.0,"a) età e/o dimensioni
g) valore storico, culturale, religioso",no,15.088489,37.758853
57,SICILIA,03/I216/CT/19,Catania,Sant'Alfio,Magazzeni,"37° 45' 31,6''","15° 06' 18,99''",1010.0,no,Betula aetnensis Raf.,Betulla dell'Etna,205.0,12.0,"a) età e/o dimensioni
d) rarità botanica
g) valore storico, culturale, religioso",no,15.105275,37.758778
58,SICILIA,04/I216/CT/19,Catania,Sant'Alfio,Tramazzi,"37° 45' 44,62''","15° 6' 18,43''",1016.0,no,Castanea sativa Mill.,Castagno,860.0,16.0,"a) età e/o dimensioni
c) valore ecologico",no,15.105119,37.762394
59,SICILIA,01/L355/CT/19,Catania,Trecastagni,Chiesa Santa Maria dei Tremonti,"37° 37' 51,03''","15° 3' 55,31''",645.0,sì,Quercus pubescens Willd.,Roverella,380.0,11.0,"a) età e/o dimensioni
f) pregio paesaggistico
g) valore storico, culturale, religioso",no,15.065364,37.630842
60,SICILIA,02/L355/CT/19,Catania,Trecastagni,Contrada da Carpene,"37° 39' 26,82''","15° 04' 34,39''",730.0,no,Quercus pubescens Willd.,Roverella,400.0,13.0,"a) età e/o dimensioni
f) pregio paesaggistico",no,15.076219,37.657450
61,SICILIA,01/M100/CT/19,Catania,Vizzini,Via Castello 26,"37° 09' 40,16''","14° 44' 48,07''",618.0,sì,Pinus pinea L.,Pino domestico,322.0,16.0,"c) valore ecologico
e) architettura vegetale",no,14.746686,37.161156
62,SICILIA,01/M139/CT/19,Catania,Zafferana Etnea,Contrada Carlino,"37° 43' 02,57''","15° 06' 09,03''",940.0,no,Quercus ilex L.,Leccio,490.0,18.0,"a) età e/o dimensioni
b) forma e portamento
g) valore storico, culturale, religioso",no,15.102508,37.717381
63,SICILIA,02/M139/CT/19,Catania,Zafferana Etnea,Acquarocca degli Zappini,"37° 42' 18,85''","15° 02' 48,6''",1522.0,no,Fagus sylvatica L.,Faggio,630.0,13.0,"a) età e/o dimensioni
b) forma e portamento
f) pregio paesaggistico
g) valore storico, culturale, religioso",no,15.046833,37.705236
64,SICILIA,03/M139/CT/19,Catania,Zafferana Etnea,Strada Cassone - Monte Pomiciaro,"37° 42' 35,21''","15° 04' 04,99''",1420.0,no,Populus tremula L.,Pioppo tremolo,310.0,10.0,f) pregio paesaggistico,no,15.068053,37.709781
65,SICILIA,04/M139/CT/19,Catania,Zafferana Etnea,Ilice,"37° 41' 05,7''","15° 04' 25,3''",1110.0,no,Fagus sylvatica L.,Faggio,300.0,20.0,f) pregio paesaggistico,no,15.073694,37.684917
66,SICILIA,03/B804/ME/19,Messina,Caronia,Bosco Tassita,"37° 53' 42,47''","14° 28' 51,99''",1487.0,no,Acer pseudoplatanus L.,Acero di monte,830.0,24.0,"a) età e/o dimensioni
c) valore ecologico",no,14.481108,37.895131
67,SICILIA,04/B804/ME/19,Messina,Caronia,Bosco Tassita,"37° 53' 43,76''","14° 28' 51,33''",1477.0,no,Acer pseudoplatanus L.,Acero di monte,650.0,26.0,"a) età e/o dimensioni
c) valore ecologico",no,14.480925,37.895489
68,SICILIA,05/B804/ME/19,Messina,Caronia,Bosco Tassita,"37° 53' 44,76''","14° 28' 52,85''",1460.0,no,Acer campestre L.,Acero campestre,405.0,14.0,"a) età e/o dimensioni
c) valore ecologico",no,14.481347,37.895767
69,SICILIA,06/B804/ME/19,Messina,Caronia,Bosco Tassita,"37° 53' 46,75''","14° 28' 41,33''",1448.0,no,Fagus sylvatica L.,Faggio,500.0,15.0,"a) età e/o dimensioni
c) valore ecologico",no,14.478147,37.896319
70,SICILIA,01/D825/ME/19,Messina,Furnari,Furnari,"38° 6' 32,93''","15° 7' 31,41''",136.0,sì,Pinus pinea L.,Pino domestico,130.0,10.0,"b) forma e portamento
f) pregio paesaggistico",no,15.125392,38.109147
71,SICILIA,01/I086/ME/19,Messina,San Piero Patti,Manganello - Agriturismo Il Daino,"38° 2' 51,07''","14° 59' 9,07''",606.0,no,Quercus virgiliana (Ten.) Ten.,Quercia castagnara,550.0,19.0,"a) eta` e/o dimensioni
c) valore ecologico",no,14.985853,38.047519
72,SICILIA,01/L042/ME/19,Messina,Taormina,Excelsior Palace,"37° 51' 1,93''","15° 16' 52,04''",164.0,sì,Dracaena draco L.,Albero del drago,200.0,8.0,"a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",no,15.281122,37.850536
73,SICILIA,02/L042/ME/19,Messina,Taormina,Excelsior Palace,"37° 50' 56,48''","15° 16' 52,86''",159.0,no,Insieme omogeneo di Ficus macrophylla Desf. ex Pers.,Fico magnolioide,"500 (med)
550 (max)","12,0 (med)
15,0 (max)","a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",no,15.281350,37.849022
74,SICILIA,03/L042/ME/19,Messina,Taormina,Excelsior Palace,"37° 50' 53,88''","15° 16' 53,24''",162.0,no,Ceratonia siliqua L.,Carrubo,800.0,8.0,"a) età e/o dimensioni
c) valore ecologico",no,15.281456,37.848300
75,SICILIA,04/L042/ME/19,Messina,Taormina,Excelsior Palace,"37° 50' 54,39''","15° 16' 53,05''",190.0,no,Cupressus sempervirens L.,Cipresso comune,200.0,30.0,"a) età e/o dimensioni
c) valore ecologico",no,15.281403,37.848442
76,SICILIA,05/L042/ME/19,Messina,Taormina,Excelsior Palace,"37° 50' 58,36''","15° 16' 51,61''",180.0,no,Cupressus sempervirens L.,Cipresso comune,200.0,30.0,"a) età e/o dimensioni
c) valore ecologico",no,15.281003,37.849544
77,SICILIA,01/A882/PA/19,Palermo,Bisacquino,Santa Maria del Bosco - Valvino - Strada Provinciale N. 35,"37° 42' 40,21''",13° 13' 17'',709.0,sì,Quercus virgiliana (Ten.) Ten.,Quercia castagnara,420.0,25.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica",no,13.221389,37.711169
78,SICILIA,03/C067/PA/19,Palermo,Castelbuono,Sempria,"37° 54' 9,66''","14° 4' 8,61''",1180.0,no,Quercus congesta C. Presl,Quercia congesta,530.0,20.0,"a) eta` e/o dimensioni
c) valore ecologico",no,14.069058,37.902683
